Playing Time,Performance,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,,,,,,,,,,,
?,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,,,,,,,,,,
62,Roberto Navarro,es ESP,MF,Athletic Club,23-333,2002,22,6,846,9.4,5,1,6,5,0,0,1,0,0.53,0.11,0.64,0.53,0.64,Matches
63,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,31-074,1994,26,23,"1,910",21.2,3,3,6,1,2,3,8,0,0.14,0.14,0.28,0.05,0.19,Matches
64,Luis Rioja,es ESP,MF,Valencia,32-146,1993,26,22,"1,828",20.3,2,4,6,2,0,0,1,0,0.1,0.2,0.3,0.1,0.3,Matches
65,Javier Rueda Garcia,es ESP,MF,Celta Vigo,23-307,2002,19,10,958,10.6,2,4,6,2,0,0,4,0,0.19,0.38,0.56,0.19,0.56,Matches
66,Carlos Soler,es ESP,MF,Real Sociedad,29-068,1997,22,16,"1,424",15.8,4,2,6,4,0,0,2,1,0.25,0.13,0.38,0.25,0.38,Matches
67,Federico Viñas,uy URU,"FW,MF",Oviedo,27-254,1998,23,18,"1,608",17.9,5,1,6,4,1,1,4,3,0.28,0.06,0.34,0.22,0.28,Matches
68,Nico Williams,es ESP,MF,Athletic Club,23-242,2002,19,15,"1,308",14.5,4,2,6,3,1,2,1,0,0.28,0.14,0.41,0.21,0.34,Matches
69,Álex Berenguer,es ESP,MF,Athletic Club,30-250,1995,22,19,"1,582",17.6,2,3,5,2,0,0,3,0,0.11,0.17,0.28,0.11,0.28,Matches
70,Arnaut Danjuma,nl NED,"MF,FW",Valencia,29-039,1997,25,17,"1,501",16.7,3,2,5,3,0,1,0,0,0.18,0.12,0.3,0.18,0.3,Matches
71,Sergi Darder,es ESP,MF,Mallorca,32-079,1993,27,21,"1,875",20.8,1,4,5,1,0,0,3,0,0.05,0.19,0.24,0.05,0.24,Matches
72,Frenkie de Jong,nl NED,MF,Barcelona,28-303,1997,19,16,"1,495",16.6,1,4,5,1,0,0,4,1,0.06,0.24,0.3,0.06,0.3,Matches
