"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
395;"Nicolai Remberg";"Hamburger SV";24;2160;0;1;1.03;1;0.04;0.04
396;"Maarten Vandevoordt";"RasenBallsport Leipzig";4;332;0;0;0;0;0;0
397;"Oscar Højlund";"Eintracht Frankfurt";18;722;0;1;0.25;0.35;0.03;0.04
398;"Aurèle Amenda";"Eintracht Frankfurt";15;860;0;0;0.9;0.15;0.09;0.02
399;"Kamil Grabara";"Wolfsburg";25;2250;0;0;0.04;0.04;0;0
400;"Bence Dárdai";"Wolfsburg";1;31;0;0;0;0.01;0;0.04
401;"Nikola Vasilj";"St. Pauli";25;2250;0;0;0;0;0;0
402;"Karol Mets";"St. Pauli";18;1488;0;0;0.08;0.08;0.01;0.01
403;"Lars Ritzka";"St. Pauli";14;556;0;0;0.07;0.02;0.01;0
404;"Jackson Irvine";"St. Pauli";16;901;0;0;0.68;0.52;0.07;0.05
405;"Connor Metcalfe";"St. Pauli";16;255;0;1;0.59;0.48;0.21;0.17
406;"Elias Saad";"Augsburg";10;518;0;0;0.37;0.62;0.06;0.11
407;"Oladapo Afolayan";"St. Pauli";7;135;0;0;0.53;0.08;0.35;0.06
408;"Robin Hranác";"Hoffenheim";23;1950;0;0;1.72;0.06;0.08;0
409;"Filippo Mané";"Borussia Dortmund";4;142;0;0;0;0;0;0
410;"Cole Campbell";"Borussia Dortmund,Hoffenheim";2;11;0;0;0.13;0.15;1.05;1.2
411;"Jahmai Simpson-Pusey";"FC Cologne";6;413;0;0;0.27;0.04;0.06;0.01
412;"Axel Tape";"Bayer Leverkusen";6;214;0;0;0.14;0;0.06;0
413;"Jonah Kusi-Asare";"Bayern Munich";1;1;0;0;0;0;0;0
414;"Abdoulie Ceesay";"St. Pauli";15;174;0;0;0.43;0.07;0.22;0.04
415;"Hennes Behrens";"FC Heidenheim";7;549;0;2;0.09;1.93;0.01;0.32
416;"Luka Djuric";"Hoffenheim";1;5;0;0;0;0;0;0
417;"Wisdom Mike";"Bayern Munich";4;18;0;0;0.1;0;0.52;0
418;"Luca Jaquez";"VfB Stuttgart";8;564;0;1;0.11;0.44;0.02;0.07
419;"Finn Jeltsch";"VfB Stuttgart";18;1181;0;1;0.2;0.1;0.01;0.01
420;"Alejo Sarco";"Bayer Leverkusen,Borussia M.Gladbach";5;106;0;0;0.36;0.25;0.31;0.21
421;"Charles Herrmann";"Borussia M.Gladbach";1;1;0;1;0;0.38;0;34.08
422;"Jan Bürger";"Wolfsburg";7;247;0;0;0.06;0.13;0.02;0.05
423;"Claudio Echeverri";"Bayer Leverkusen";6;112;0;0;0.11;0.04;0.09;0.03
424;"Jenson Seelt";"Wolfsburg";9;681;0;0;0.11;0;0.01;0
425;"Ezechiel Banzuzi";"RasenBallsport Leipzig";21;408;0;1;1.02;0.35;0.22;0.08
426;"Koki Machida";"Hoffenheim";1;45;0;0;0;0;0;0
427;"Leon Avdullahu";"Hoffenheim";25;2212;0;1;0.48;0.95;0.02;0.04
428;"Yannik Wagner";"FC Heidenheim";4;31;0;0;0.02;0.28;0.07;0.81
429;"Cyriaque Irié";"Freiburg";5;121;0;0;0.11;0.03;0.08;0.02
430;"Lazar Jovanovic";"VfB Stuttgart";3;23;0;0;0.1;0.1;0.39;0.37
431;"Arkadiusz Pyrka";"St. Pauli";22;1787;0;1;0.53;1.66;0.03;0.08
432;"Jobe Bellingham";"Borussia Dortmund";23;1015;0;1;0.63;0.43;0.06;0.04
433;"Joël Schmied";"FC Cologne";13;964;0;0;0.21;0.15;0.02;0.01
434;"Sebastian Sebulonsen";"FC Cologne";23;1886;0;0;1.21;2.12;0.06;0.1
435;"Kristoffer Lund";"FC Cologne";24;1639;0;1;0.56;1.12;0.03;0.06
436;"Jusuf Gazibegovic";"FC Cologne";1;17;0;0;0;0;0;0
437;"Rav van den Berg";"FC Cologne";11;868;0;0;0;0;0;0
438;"Daniel Elfadli";"Hamburger SV";18;1166;0;0;0.22;0.17;0.02;0.01
439;"Giorgi Gocholeishvili";"Hamburger SV";20;841;0;1;0.97;0.64;0.1;0.07
440;"Miro Muheim";"Hamburger SV";24;2093;0;4;1.26;3.13;0.05;0.13
441;"Emir Sahiti";"Hamburger SV";2;124;0;0;0;0.01;0;0.01
442;"Alexander Røssing-Lelesiit";"Hamburger SV";11;319;0;1;0.09;0.73;0.03;0.2
443;"Aboubaka Soumahoro";"Hamburger SV";4;140;0;0;0;0.02;0;0.01
444;"Otto Stange";"Hamburger SV";2;35;0;0;0.15;0;0.38;0
445;"Andrija Maksimovic";"RasenBallsport Leipzig";8;77;0;0;0.07;0.37;0.08;0.43
446;"Aiman Dardari";"Augsburg";3;21;0;0;0.06;0;0.24;0
447;"Sota Kawasaki";"Mainz 05";6;212;0;0;0.05;0;0.02;0
448;"Ezequiél Fernández";"Bayer Leverkusen";15;841;0;0;0.38;0.62;0.04;0.07
449;"William Bøving";"Mainz 05";7;192;0;1;0.01;0.53;0.01;0.25
450;"Alessio Castro-Montes";"FC Cologne";8;426;0;3;0.16;1.77;0.03;0.37
451;"Fabio Baldé";"Hamburger SV";11;288;0;1;0.41;1.22;0.13;0.38
452;"Cameron Puertas";"Werder Bremen";20;1208;0;1;1.49;1.84;0.11;0.14
453;"Cassiano Kiala";"Bayern Munich";1;1;0;0;0;0;0;0
454;"Tobias Weigel";"FC Heidenheim";1;1;0;0;0;0;0;0
455;"Dmytro Bogdanov";"Union Berlin";1;1;0;0;0;0;0;0
456;"Jan Urbich";"Borussia M.Gladbach";3;28;0;0;0;0.03;0;0.09
457;"David Santos";"Bayern Munich";2;25;0;0;0.03;0;0.11;0
458;"Fabio Moreno Fell";"Mainz 05";2;80;0;0;0.05;0;0.06;0
459;"Pharell Hensel";"Wolfsburg";5;68;0;0;0.02;0;0.02;0
460;"Livan Burcu";"Union Berlin";10;277;0;0;1.54;0.32;0.5;0.1
461;"Samba Konate";"RasenBallsport Leipzig";1;1;0;0;0.04;0;3.72;0
462;"Cenny Neumann";"FC Cologne";1;1;0;0;0;0;0;0
463;"Tim Schnitzer";"Augsburg";1;1;0;0;0;0;0;0
464;"Fynn Schenten";"FC Cologne";7;86;0;0;0.03;0.36;0.03;0.38
465;"Felipe Chávez";"Bayern Munich,FC Cologne";4;18;0;0;0.06;0.11;0.31;0.56
466;"Kota Takai";"Borussia M.Gladbach";6;326;0;0;0.41;0.03;0.11;0.01
467;"Youssoupha Niang";"FC Cologne";5;109;0;0;0.3;0.06;0.25;0.05
468;"Jeremy Arévalo";"VfB Stuttgart";5;19;0;1;0.16;0.06;0.75;0.29
469;"Tomoya Ando";"St. Pauli";7;543;0;0;0.04;0.16;0.01;0.03
470;"Mathias Rasmussen";"St. Pauli";5;283;0;0;0.15;0.07;0.05;0.02
471;"Love Arrhov";"Eintracht Frankfurt";2;7;0;0;0;0;0;0
472;"Jonas Adjetey";"Wolfsburg";4;134;0;0;0.09;0;0.06;0
473;"Luca Reggiani";"Borussia Dortmund";3;106;0;0;0.02;0;0.01;0
474;"Samuele Inácio";"Borussia Dortmund";1;8;0;0;0.05;0;0.57;0
475;"Philip Otele";"Hamburger SV";5;370;0;1;0.17;0.79;0.04;0.19
476;"Hugo Bolin";"Borussia M.Gladbach";5;193;0;0;0.15;0.33;0.07;0.16
477;"Christian Conteh";"FC Heidenheim";4;264;0;0;0.13;0.38;0.05;0.13
478;"Uchenna Ogundu";"Augsburg";1;6;0;0;0;0;0;0
479;"Maycon Douglas Cardozo";"Bayern Munich";1;29;0;0;0;0;0;0
