"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
231;"João Gomes";"Wolverhampton Wanderers";28;2219;1;0;1.12;0.85;0.05;0.03
232;"Lewis Miley";"Newcastle United";19;1110;1;3;1.38;1.71;0.11;0.14
233;"Milos Kerkez";"Liverpool";27;1976;1;1;0.95;1.75;0.04;0.08
234;"Simon Adingra";"Sunderland";14;665;1;0;0.34;0.73;0.05;0.1
235;"Calvin Bassey";"Fulham";21;1713;1;0;1.13;0.24;0.06;0.01
236;"Yehor Yarmolyuk";"Brentford";29;2039;1;2;1.35;1.18;0.06;0.05
237;"Lorenzo Lucca";"Nottingham Forest";3;117;1;0;1.13;0.04;0.87;0.03
238;"Murillo";"Nottingham Forest";21;1821;1;0;0.44;0.25;0.02;0.01
239;"Alejandro Jiménez";"Bournemouth";25;1892;1;0;1.12;1.55;0.05;0.07
240;"Josh Acheampong";"Chelsea";12;574;1;0;0.65;0.14;0.1;0.02
241;"Yankuba Minteh";"Brighton";25;1688;1;4;3.07;3.9;0.16;0.21
242;"Lucas Bergvall";"Tottenham";17;811;1;2;1.07;0.26;0.12;0.03
243;"André";"Wolverhampton Wanderers";27;2043;1;0;0.32;1.03;0.01;0.05
244;"Justin Devenny";"Crystal Palace";18;574;1;0;2.25;0.33;0.35;0.05
245;"Matt O&#039;Riley";"Brighton";3;183;1;0;1.14;0.15;0.56;0.07
246;"Tom Edozie";"Wolverhampton Wanderers";1;1;1;0;0.08;0;7.45;0
247;"Rio Ngumoha";"Liverpool";11;95;1;0;0.55;1.29;0.52;1.22
248;"Oliver Sonne";"Burnley";7;149;1;0;0.38;0.03;0.23;0.02
249;"Josh Laurent";"Burnley";26;1368;1;0;0.52;0.64;0.03;0.04
250;"Marcus Edwards";"Burnley";17;870;1;3;2.17;2.21;0.22;0.23
251;"Jhon Arias";"Wolverhampton Wanderers";23;1140;1;0;3.29;0.9;0.26;0.07
252;"Stefanos Tzimas";"Brighton";9;111;1;1;0.63;0.38;0.51;0.31
253;"Kevin";"Fulham";23;876;1;1;1.23;1.21;0.13;0.12
254;"Fabian Schär";"Newcastle United";16;1096;0;0;0.96;0.16;0.08;0.01
255;"Bernd Leno";"Fulham";29;2610;0;0;0;0;0;0
256;"Nathan Aké";"Manchester City";14;478;0;0;0.2;0.69;0.04;0.13
257;"Seamus Coleman";"Everton";3;11;0;0;0;0;0;0
258;"John Stones";"Manchester City";7;356;0;0;0;0.06;0;0.02
259;"Nathaniel Clyne";"Crystal Palace";8;515;0;1;0.27;0.67;0.05;0.12
260;"Kyle Walker";"Burnley";27;2377;0;2;0.08;1.27;0;0.05
261;"Kieran Trippier";"Newcastle United";17;1408;0;1;0.1;1.67;0.01;0.11
262;"Ola Aina";"Nottingham Forest";13;1145;0;0;0.32;0.28;0.02;0.02
263;"Jordan Pickford";"Everton";29;2610;0;0;0;0;0;0
264;"Jamaal Lascelles";"Newcastle United";2;8;0;0;0.08;0;0.88;0
265;"Karl Darlow";"Leeds";13;1170;0;0;0;0;0;0
266;"Adam Smith";"Bournemouth";16;730;0;1;0;0.43;0;0.05
267;"James Ward-Prowse";"Burnley,West Ham";9;559;0;1;0.11;1.95;0.02;0.31
268;"Adama Traoré";"Fulham,West Ham";20;248;0;0;0.4;0.41;0.15;0.15
269;"Sam Byram";"Leeds";1;4;0;0;0;0;0;0
270;"Patrick Roberts";"Sunderland";1;23;0;0;0.07;0;0.27;0
271;"Sam Johnstone";"Wolverhampton Wanderers";12;1080;0;0;0;0;0;0
272;"Joseph Gomez";"Liverpool";15;385;0;2;0.14;1.25;0.03;0.29
273;"Luke Shaw";"Manchester United";29;2479;0;1;0.36;1.29;0.01;0.05
274;"Tyrone Mings";"Aston Villa";12;864;0;0;0.48;0.71;0.05;0.07
275;"Gianluigi Donnarumma";"Manchester City";26;2340;0;0;0;0;0;0
276;"Alisson";"Liverpool";24;2160;0;0;0;0;0;0
277;"Emil Krafth";"Newcastle United";1;51;0;0;0;0;0;0
278;"Andrew Robertson";"Liverpool";17;644;0;0;0.28;1.21;0.04;0.17
279;"Arthur Masuaku";"Sunderland";3;132;0;0;0.08;0.06;0.05;0.04
280;"Lewis Cook";"Bournemouth";15;839;0;1;0.06;0.35;0.01;0.04
281;"Lucas Digne";"Aston Villa";24;1392;0;4;0.59;1.85;0.04;0.12
282;"Jefferson Lerma";"Crystal Palace";23;1132;0;2;1.35;1.29;0.11;0.1
283;"Mateo Kovacic";"Manchester City";1;2;0;0;0;0;0;0
284;"Alphonse Areola";"West Ham";20;1800;0;1;0;0.02;0;0
285;"Oleksandr Zinchenko";"Nottingham Forest";5;347;0;0;0.08;0.45;0.02;0.12
286;"Issa Diop";"Fulham";10;593;0;0;0.05;0;0.01;0
287;"Olivier Boscagli";"Brighton";8;441;0;1;0.02;0.06;0;0.01
288;"Odsonne Edouard";"Crystal Palace";1;1;0;0;0;0;0;0
289;"Emiliano Martinez";"Aston Villa";25;2207;0;0;0;0.06;0;0
290;"Adam Armstrong";"Wolverhampton Wanderers";6;488;0;2;0.03;1.05;0.01;0.19
291;"Ashley Barnes";"Burnley";5;15;0;0;0.12;0;0.69;0
292;"Kai Havertz";"Arsenal";5;201;0;1;0.37;0.19;0.17;0.08
293;"Leon Bailey";"Aston Villa";7;278;0;1;0.27;0.46;0.09;0.15
294;"Kevin Danso";"Tottenham";15;753;0;0;0.16;0;0.02;0
295;"Jacob Bruun Larsen";"Burnley";23;965;0;1;1.39;1.28;0.13;0.12
296;"Angus Gunn";"Nottingham Forest";1;38;0;0;0;0;0;0
297;"Nick Pope";"Newcastle United";22;1972;0;0;0.13;0;0.01;0
298;"Aaron Wan-Bissaka";"West Ham";20;1739;0;2;0;1.07;0;0.06
299;"Tosin Adarabioyo";"Chelsea";14;721;0;0;0.07;0.42;0.01;0.05
300;"Daniel James";"Leeds";14;389;0;0;0.61;0.45;0.14;0.1
301;"Angel Gomes";"Wolverhampton Wanderers";6;250;0;0;0.06;0.14;0.02;0.05
302;"Aaron Ramsdale";"Newcastle United";8;638;0;0;0;0.07;0;0.01
303;"Yves Bissouma";"Tottenham";8;468;0;0;0.21;0;0.04;0
304;"Youri Tielemans";"Aston Villa";17;1302;0;4;1.61;2.65;0.11;0.18
305;"Lewis Dunk";"Brighton";27;2380;0;0;0.84;0.48;0.03;0.02
306;"Solly March";"Brighton";1;2;0;0;0;0;0;0
307;"Victor Lindelöf";"Aston Villa";12;556;0;1;0.02;0.6;0;0.1
308;"Niclas Füllkrug";"West Ham";8;416;0;0;0.98;0.45;0.21;0.1
309;"Will Hughes";"Crystal Palace";26;1221;0;0;1.28;1.77;0.09;0.13
310;"Daichi Kamada";"Crystal Palace";19;1498;0;0;1.27;1.58;0.08;0.09
